,commentor,comment
205,HARE KRISHNA,Hare Krishna
206,raman kumar,Sir screen pe kya likhte hai aap pta bilkul nahi chalta hai
207,Vivek Lokhande,I'm so grateful you were my teacher.
208,Jig,"Sir, i just bought(1 monthago) your python for beginner course from your site which is little old but it's superb . 
My questions is that i should also watch this live session of python or your paid python course that i bought is enough for core python????

Please reply this comment  
It will really help me or other students"
209,hosting vosting,"Hello GOD of programming sir,

College vale ko fee dete ve dill dukhta h.
Kaash me apse pehle milaa hota to apke course ko hi le letaa ab me aik trap me phas gaya hoo. Last year h meraa.

Sir aap ko itna SB kese yaad ho jata h itnaa sb kuch or vo bhi itnaa deeply.
Sir isse related thodi si tips de dijiye.

And aap jesaa koi nhi padha sktaa.
Apko aik aik cheez pata h Q use krte h kese use krte h.

You are the GOD of programming."
210,pankaj kumar,Full dedication in the teaching so app mere best teacher ho..
211,Amit Mehta,Sir Dil se shukriya ️
212,Kumudini Patel,5 is jnt and 3.7 is float
213,Nazia Ashraf,Please provide python for Data analyst
214,Aijaz Ahmad,"sir, tell me about paid course."
215,Aditya Rajawat,Python is interpreter or compiler
216,HelpAndSuppot(SR) 1.0,Thanks 
217,Rupesh Poonia,sir full stack dev python kitne time ka course hoga sir eske bad placement k liye thodda bta do sir plz
218,Gyanendra Singh,
219,YASH PALIWAL,Itna badhiya lecture attend krne ke baad bhi like krne mein kya jata h frnds like kro plss
220,raman kumar,Sir good evening. Mai teacher hu. Ab mai job karna chahta hu. Mujhe python sikhne ka man kar raha hai. Mujhe job mil sakti hai kya meri age 37 hai
221,X gaming,Sir please where is classes concept I am so confused about self var
222,2136 Piyush Parmar,Sir iss python course ki notes kaha se milegi ..??
223,Saima Alam,What is the time of this class
224,raman kumar,Sir Day first ka link send kar dijiye please
225,Pratiksha Borude,Program ke time kuch dikh nhi Raha he
226,Fatima Khan,Sir R language b sikhayen
227,Rαɱα Sԋαɳƙαɾ,Sir g bootcamp kii class band thi kya Sunday ko
228,Kumudini Patel,Different
229,Kumudini Patel,Yes
230,Kumudini Patel,No
231,Ravishankar,"Sir teacher like you on YouTube really deserve millions of Subscriber , your way of teaching is too good. and now we are waiting for second stage of Python , it is really interesting"
232,The Joker Memer,Really your teaching way is too good 
233,shahid mia,Really you are my SirG! please make video about Subscriptble object vs non-subscriptable object. Are all iterables are subscriptables? As I have experienced  when we convert iterables into iterators they are no longer subscriptables. One more thing is that how can we convert back an iterator of our own selected elements from an iterable into  an iterable??. Thanks
234,veerrajput,Good sir for giving or sharing a lot of knowledge thank you so much sir
235,Vaibhav Pal,Sir please start a new course on phyton just like you started C and C++..
236,Deepanshu Saini,Respect From Bottom of My Heart !
237,virendar****,Very very  Thank you sir 
238,Ajaz Ahmed Shah,Sir please start a community class on Full Stack Web Development
239,Matrix Education,I'm very very happy from you Safi from Afghanistan 
240,Arslan Masroor,sir you Are such a good teacher
241,Ritik Sinha..,Sir can you please make ideal roadmap for btech cse 1 year student its a humble request.
242,Aaj ka gyan,sir please provide pdf notes if possible
243,2162 SuRaj Narale,Sir your you have god level power plz start full stack web development from total basic power full course as other your's
244,Sakshi Sharma,Thank u so much sir 
245,Dance[sky] COMEDY,Great sir.thank u
246,Gaurav singh Chouhan,sir please start community classes of java
247,SocialGuru,Pls make a tutorial on dsa Using python
248,Pallavi Sathe,Aapse achha koi nhi sikha sakta sir 
249,Anirudh Rajput,sir apka competitive coding ka live community kab ayega we are eagerly waiting sir
250,NILESH KUMAR,Sir please 6th lecture or uske aage ki videos v upload kr diziye..bahut wait kr rha hoon
251,ADITYA SINGH,Sir core java padha dijiye basics sae ️️
252,"𝑹, 𝒋",Waiting for this from last 1 year
253,Saima Alam,Sir what is discount coupon code no for paid course
254,MS444 FF,Sir please start Java online course
255,Rakhi Yadav,Sir please javascript and reactjs ka course bhi chahiye
256,Sudeepta Satapathy,tq so much sir
257,PRASHANT RAUT,Certificate provide kia jayega kya sir paid course ka 
258,Dabeer khan,"Sir java ki bhi live community class start karain please , college mai bilkul samjh nahi aata"
259,mukesh kr1 point,Sir Aapka you tube video se padne se bahut kuch jan gya hai lagta hai thanks sir
