,commentor,comment
788,Kankan Chatterjee,These lectures are awesome. Sir you have made these content very begginer friendly. Every topic is eash to understand. Sir your teaching style is more than outstanding. We all love you sir️
789,Techno_pawan,"sir today my first class on Ineuron  .your teaching style amazing .you explain all the topic in easiest way.
so i suggest another student at least one time joined your classes and realise  difference from another teacher."
790,Manoj Jyani,We appreciate you. Teachers don’t just teach—they prepare us for the road ahead. Saying you appreciate that effort reminds teachers that their impact goes beyond the classroom.
791,simran Kaur,"The lectures provided by Sir are amazing at Ineuron. Even for the ones who have experience with basics of C/C++. You will still learn a lot and it would definitely fill up the gaps you have in your knowledge if any.

eagerly waiting for Data structures and algorithms. :)"
792,Saurabh Kumar Singh,"Experiencing the best way of teaching the first programming language 
Environment is eco-friendly and easy to understand perfect doubt sessions and regular interaction with the technical teams via chat support 




Love the way of your teaching sir.️thank you"
793,Radhika Kataria,"Thanku sir...this course is really helping me a lot. I'm beginner and ur teaching method is very very easy. Nd it gives me confidence that ,Yes ,i can do it...Also, m feeling very lucky that i got opportunity to learn c,c++,dsa,competitive programming,IOT ,,nd projects...at a very AFFORDABLE FEE ..Thanku so much sir"
794,Arif Ansari,Thank you so much sir for you're  lounch a wanderful course in affordable price  You are the only one teacher sir  where I get fully satisfaction in our studying and again thank you so much ️️
795,Sikindar Gupta,"I'm big fan of you Sir. Love you Sir...Lots of thanks Sir for providing the excellent opportunity, for the lots of Students & Working People in IT Sector. 
I'm already joined this course...This is an excellent course. If you also want to learn C, C++, DSA, IOT & also Competitive programming, then Please guys join this course, believe me - At such a low price, you will not find this type of course with such facilities anywhere in the market. Still-Now this type of course not design in the market. May be if design for this type of course in future, then will be price of this type of course Rs 40,000 to Rs 50,000. Again Guys request to all of you, If you want to learn C, C++, DSA, IOT & also Competitive programming, then Please join this course."
796,Prashant S Cholke,"I join the course C++, The sir working hard to make learning easy for us. I have never seen such a great guy in my life. Thank you so much Saurabh Sir"
797,3DArt Works,If you are looking for affordable price course go through it .Sir's teaching style is awesome I am loving it 
798,Sajan Kumar,"i fall in love the way  sir teach us programmng, every concept is explaind in detail with lots of practice questions by which concept gets crystal and clear. and also we are taught how to handle any programming problem and how to build logic. Thank you sir for your effort."
799,Geetika Sharma,"The best live classes I ever attend 
You can use the word ""the best"" .
I have already purchased the course
And on Saturday and Sunday i attend classes and doubt sessions , the classes are so detailed and so understandable that you don't have to go anywhere else . 
Thank you SIR  for the wonderful classes and  for providing so much facilities in affordable prices ."
800,Shiwani Sharma,Sir you are my mentor and the way of your teaching is fabulous and easy to understandable and never forgetable. You are the best teacher ever I met 
801,Shreya jha,Saurabh sir is great️.The way he teaches is excellent. I have learnt c c++ from him but still I have joined this class because everytime I got to learn new things . The experience of attending sir's live  classes is best .Doubt handling facility is also great.If anyone wants to learn programming from beginning then attend Saurabh Sir's class without any second thought .After attending classes you will get to know how great he is and his teaching style.
802,Tannu kumari,"I learned each and every thing from saurabh sir, class was amazing  you are the best  teacher  thanks sir "
803,KAMALKISHOR MAHTO,"This is by far most amazing job ready bootcamp for new programmer and even for intermediate as well experienced one that  covers every nuances of programming concepts and one of the key features of this bootcamp is that every individual's doubt are properly handle. No one can provide quality content that MySirg is now Providing in collaboration with ineuron at this low price, which is not possible unless he is Saurabh Shukla sir. Please   believe me because right now I'm Experiencing the moment.Students are his brand ambassador. I request everyone to please share this who are still not getting or waiting for right programming resources."
804,Amash Ansari,"Thanks to Saurabh Shukla Sir for charging too low for the course to the quality he is providing to it. Other than the live class, one to one assistance is there through doubt classes which will clear our concepts. He explains each and everything so deeply  by giving real life examples which makes it so easy to understand even for an absolute beginner. Small breaks are also provided in between the lecture."
805,Raju Kumar Pandey,"You are my personal favourite sir not only for Your teaching method but you also inspire me to keep calm at any situation.. Beacuse when he started paid courses, a lot of hate was being spread on him.  You make our programming easy to use. I want to suggest it to everyone who is a beginner in the engineering field. that students must watch at least one time Saurabh sir's classes. after this, you will realize how to start programming on a basis of the concept The most important thing is ""DRY RUN"" is that weapon that will help to solve the most difficult program easily. my personal opinion to every student. my favorite teacher in the coding field is ""Saurabh Shukla Sir"".
A great teacher said to me, that a poor student can become a very good teacher... Beacuse he was the one who faces more problem then rest of tha class"
806,Aman Yadav,"The way Sir explains the concept is awesome. And This is only reason to take this course.
Very Grateful to you Saurabh Sir."
807,Akash Raj,Sir's teaching methodology is simply 
808,kumari ajeeta,"Teachers can change lives with the right mix of chalk and challenges."" ""Teaching is the greatest act of optimism........Sir Your positivity and encouragement brightened my days.
You gave me the strength I needed to take the next steps toward my dream of ..... you're the best teacher ever for me thanku so much sir for teaching us like this way ......you are my inspiration for coding....koi bhi problem hoti hai toh sochti hoo sir hai sab ache se karlungi and last one  maine aaj tk jitna jo sikha sirf apne lecture sun kar padh kr hi jana sikha hai .... Again thanks alot sir"
809,NAMATO,"Thank you for giving us such a fabulous course( c,c++, DSA, IoT) in this price range and sir your teaching is top notch it's clear my many doubts we really appreciate your efforts and the way you explain the concepts  ."
810,13 Mohsin Bashir,"i many times lost the interest of programming but whenever i watch the video's of you highness i am getting highly motivated that i can do it because of your so easy explanations  i think no one can do like you are doing. Love you sir, keeping all the people in consederation and making such a huge package of content at such cheap price. 
I really love you from my depth of my heart ️. Really such a unmatchable content you are delivering, i really recommend all the guys to enroll in this pricessless course.
Thanku sir
Mohsin Bashir Najar, one of your boot camp student"
811,Raavi,"""SAURABH SIR"" is one in million️️...No one can teach like him...I have learnt c ,c++ from him. SAURABH SIR teaching method is so extraordinary even a child can learn from him."
812,Somnath,"Mysirg is not only a youtube channel, it's a hope for the students who continuously struggle to be fit and wanted to make themselves best in programming, like me. We couldn't be more grateful and blessed, as we got the best teacher in the world, indeed. And in this course of job ready bootcamp he is putting extraordinary effort and provide us such great content with  best understanding. He has given us chat support from Monday to Friday , the students who felt difficulty to attend the doubt classes in morning so he changed the timing to evening , he give us new perspective and best approach to solve problems in ease way. It never feel that we are in online class, we take breaks and the humorous nature of sir is next level  I don't think so, anyone could give us so much facilities and support and deep concern (at this minimum price)  like him . Love you 3000️ sir"
813,Ashish kumar,Your teaching style is amazing. Everything clear in depths way and than i m so confident. Thank you sir  and I'm also joined bootcamp course.........
814,ajay kumar,"Todays class is amazing sir ,we have learned concepts in detail in a very easy way,far more better then youtubers ."
815,amit kumar,Sir I haven't seen aa teacher like your explanation is excellent and this course is unbelievable on this cost and there are lots of contents and facilities
816,vinay kumar,"This is best thing that I have decided to do in my coading career.
I have full trust and faith on saurabh sir.

If he is saying he will change in 6 month,
The there is full stop

It's promise is just like universal truth.

Love your teaching style and way of transferring knowledge to students."
817,Vinod Rajwaniya,"This is best thing that I have decided to do in my coading career.
I have full trust and faith on @saurabh sir.
 
If he is saying he will change in 6 month,
The there is full stop
 
It's promise is just like universal truth.
 
Love your teaching style and way of transferring knowledge to students.

We appreciate you Sir. Teachers don’t just teach—they prepare us for the road ahead. Saying you appreciate that effort reminds teachers that their impact goes beyond the classroom."
818,Mukesh Kushwaha,"Sir we appreciate your efforts and the way you explain the concepts.
I believe, I can get a better future under your guidance.  Thank you"
819,Œ,"Today lecture was totally osm and savage, i am one of your gadhas. Great lecture sir. This course is totally from zero to hero type course.
Edit: Also this course is from basic to advance. First he taught what is basic of the following topics and then what can be the possibilties, what mistake we done while approching and get scolded ofcourse but beleive me its all on you. They give their best, so if we gave our all, you surely gain. Only join if you are serious 
Thank you!"
820,Rishi sharma,"Sir the way you teach is very good. 
I think college or private Institute teachers should learn from you to how to teach. 
I would like to suggest to students if you really want to study pls take live online classes. Because you will get number 1 content and you not find that content anywhere. So it's my request to take online classes. 
And the work you all wonderful teachers are doing together with ineuron is fantastic. 
To give best quality education in such a low amount. Which is not possible in any college or private institution. 
Bow down to you and all the other teachers sir."
821,bhupendra chaudhary,amazing class...life changing movement of my life....thank you  sir from the bottom of my heart....
822,chirantan yadav,"sir the calm slow and steady teaching of your really make the concept crystal &clear....
thanks for providing such awsome course...."
823,saurav kumar,Joined first class today after enrolling yesterday. Really greatful for your teaching styles. Thank you sir
824,Akanksha Kumari,"The best teacher with many years of experience...
The way sir explain the topics .is just beyond the level ......just i wanna say
Thank you so much sir "
825,Ankur Singer,Best course on the planet ever and ever will be......sir we cant thank you enough for your efforts for this course....you giving us so much in such a low i meant to say a neglegeable amount you are the greatest sir....you are my idol sir....Love u so much sir
826,Coding by Er Arjun,Your teaching style is amazing and i learnt a lot from you sir
827,Dinesh Kumar,"Sir, I have joined your classes and I am very grateful that I am learning from you. Your teaching method amazing, detailed and unique. Every teacher should teach like you. 
During today's class you said you feels more comfortable in Hindi, that's absolutely true, and I am so happy that you are teaching this bootcamp in hindi. Yes, English is must for us but it is our second priority, but our first priority is learn programming, jo woh hume aap kara hi rhe hai best quality me.
I just want to know one more thing, it is just for curiosity.
Aap suruwat me English me classes le rahe the, I am ok to learn in English isliye mene aapka ye batch bhi join kiya because I love to learn from you aur mein aage bhi aapse learn karta rahunga but aap last se classes Hindi me hi le rahe hai. Kya sabhi students Hindi ke liye hi aap se request kar rhe the? Waise ye batch hindi me continue hai, yahi apne aap me unique hai sabhi students ke liye.
Aap hume aisi hi padate rehiye, aap bahut accha pada rhe hai, mein aapke saath hu, hum sabhi students aapke saath hai.
Lots of Love, MySirG"
